bhk,area_sqft,locality,furnishing,status,price_rupees,price_per_sqft
2,1170.0,Chandlodiya,Furnished,Ready To Move,4800000.0,4102.56
2,1107.0,Chandkheda,Furnished,Ready To Move,4200000.0,3794.04
2,1278.0,Nikol,Furnished,Ready To Move,4200000.0,3286.38
2,1215.0,Tragad,Semi-Furnished,Ready To Move,5000000.0,4115.23
1,596.0,Gota,Furnished,Ready To Move,3200000.0,5369.13
1,702.0,Narolgam,Furnished,Ready To Move,2100000.0,2991.45
2,945.0,Vatva,Semi-Furnished,Ready To Move,2500000.0,2645.5
2,990.0,Gota,Semi-Furnished,Ready To Move,4500000.0,4545.45
2,909.0,Vastral,Semi-Furnished,Ready To Move,3500000.0,3850.39
2,1215.0,Tragad,Furnished,Ready To Move,5150000.0,4238.68
1,585.0,Ranip,Semi-Furnished,Ready To Move,3100000.0,5299.15
2,904.0,Chandkheda,Semi-Furnished,Ready To Move,4200000.0,4646.02
2,900.0,Vasna,Semi-Furnished,Ready To Move,3800000.0,4222.22
2,592.01,Chandkheda,Semi-Furnished,Ready To Move,5200000.0,8783.57
2,1080.0,Chandlodiya,Furnished,Ready To Move,5000000.0,4629.63
2,747.0,Narolgam,Furnished,Ready To Move,2500000.0,3346.72
1,376.74,Vinzol,Furnished,Ready To Move,1950000.0,5176.03
2,855.0,Sardar Patel Ring,Semi-Furnished,Ready To Move,4000000.0,4678.36
2,875.0,Gota,Furnished,Ready To Move,4600000.0,5257.14
2,1162.5,Vastral,Semi-Furnished,Ready To Move,4100000.0,3526.88
1,675.0,Hathijan,Semi-Furnished,Ready To Move,2100000.0,3111.11
2,1085.0,Shela,Furnished,Under Construction,5000000.0,4608.29
3,1242.0,Chandkheda,Furnished,Ready To Move,4050000.0,3260.87
3,1056.0,Khokhra,Unfurnished,Ready To Move,3600000.0,3409.09
1,702.0,Nirnay,Semi-Furnished,Ready To Move,3300000.0,4700.85
1,700.0,Juhapura,Semi-Furnished,Ready To Move,3350000.0,4785.71
1,510.0,Jagatpur,Furnished,Ready To Move,3400000.0,6666.67
2,1125.0,Bopal,Semi-Furnished,Ready To Move,5000000.0,4444.44
2,1215.0,Vatva,Furnished,Ready To Move,3800000.0,3127.57
2,1100.0,Shela,Furnished,Under Construction,4400000.0,4000.0
2,1107.0,Chandkheda,Semi-Furnished,Ready To Move,4200000.0,3794.04
1,648.0,Vastral,Furnished,Ready To Move,2250000.0,3472.22
3,830.0,Bopal,Furnished,Under Construction,4950000.0,5963.86
2,927.0,Tragad,Furnished,Ready To Move,3600000.0,3883.5
1,430.56,Nikol,Semi-Furnished,Ready To Move,2650000.0,6154.83
2,1125.0,Nikol,Furnished,Ready To Move,5000000.0,4444.44
2,650.0,Vastral,Unfurnished,Ready To Move,4500000.0,6923.08
